date,type,value
2021-03-24,Local,0
2021-03-25,Imported,17
2021-03-25,Local,0
2021-03-26,Imported,12
2021-03-26,Local,0
2021-03-27,Imported,23
2021-03-27,Local,0
2021-03-28,Imported,12
2021-03-28,Local,0
2021-03-29,Imported,21
2021-03-29,Local,0
2021-03-30,Imported,26
2021-03-30,Local,0
2021-03-31,Imported,34
2021-03-31,Local,0
2021-04-01,Imported,26
2021-04-01,Local,0
2021-04-02,Imported,43
2021-04-02,Local,0
2021-04-03,Imported,18
2021-04-03,Local,0
2021-04-04,Imported,10
2021-04-04,Local,0
2021-04-05,Imported,17
2021-04-05,Local,0
2021-04-06,Imported,24
2021-04-06,Local,0
2021-04-07,Imported,34
2021-04-07,Local,1
2021-04-08,Imported,21
2021-04-08,Local,0
2021-04-09,Imported,26
2021-04-09,Local,0
2021-04-10,Imported,32
2021-04-10,Local,0
2021-04-11,Imported,19
2021-04-11,Local,1
2021-04-12,Imported,25
2021-04-12,Local,0
2021-04-13,Imported,14
2021-04-13,Local,0
2021-04-14,Imported,26
2021-04-14,Local,1
2021-04-15,Imported,16
2021-04-15,Local,0
2021-04-16,Imported,33
2021-04-16,Local,1
2021-04-17,Imported,35
2021-04-17,Local,4
2021-04-18,Imported,22
2021-04-18,Local,1
2021-04-19,Imported,19
2021-04-19,Local,1
2021-04-20,Imported,13
2021-04-20,Local,1
2021-04-21,Imported,15
2021-04-21,Local,0
2021-04-22,Imported,22
2021-04-22,Local,2
2021-04-23,Imported,38
2021-04-23,Local,1
2021-04-24,Imported,18
2021-04-24,Local,5
2021-04-25,Imported,40
2021-04-25,Local,0
2021-04-26,Imported,44
2021-04-26,Local,1
2021-04-27,Imported,11
2021-04-27,Local,1
2021-04-28,Imported,21
2021-04-28,Local,2
2021-04-29,Imported,19
2021-04-29,Local,16
2021-04-30,Imported,16
2021-04-30,Local,8
2021-05-01,Imported,25
2021-05-01,Local,9
2021-05-02,Imported,26
2021-05-02,Local,13
2021-05-03,Imported,7
2021-05-03,Local,10
2021-05-04,Imported,12
2021-05-04,Local,5
2021-05-05,Imported,15
2021-05-05,Local,1
2021-05-06,Imported,16
2021-05-06,Local,2
2021-05-07,Imported,21
2021-05-07,Local,4
2021-05-08,Imported,13
2021-05-08,Local,7
2021-05-09,Imported,18
2021-05-09,Local,10
2021-05-10,Imported,16
2021-05-10,Local,3
2021-05-11,Imported,12
2021-05-11,Local,13
2021-05-12,Imported,6
2021-05-12,Local,10
2021-05-13,Imported,10
2021-05-13,Local,24
2021-05-14,Imported,28
2021-05-14,Local,24
2021-05-15,Imported,12
2021-05-15,Local,19
2021-05-16,Imported,11
2021-05-16,Local,38
2021-05-17,Imported,7
2021-05-17,Local,21
2021-05-18,Imported,11
2021-05-18,Local,27
2021-05-19,Imported,4
2021-05-19,Local,34
2021-05-20,Imported,14
2021-05-20,Local,27
2021-05-21,Imported,10
2021-05-21,Local,30
2021-05-22,Imported,7
2021-05-22,Local,22
2021-05-23,Imported,3
2021-05-23,Local,22
2021-05-24,Imported,12
2021-05-24,Local,24
2021-05-25,Imported,9
2021-05-25,Local,21
2021-05-26,Imported,2
2021-05-26,Local,24
2021-05-27,Imported,9
2021-05-27,Local,15
2021-05-28,Imported,15
2021-05-28,Local,15
2021-05-29,Imported,10
2021-05-29,Local,23
2021-05-30,Imported,6
2021-05-30,Local,19
2021-05-31,Imported,7
2021-05-31,Local,16
2021-06-01,Imported,3
2021-06-01,Local,15
2021-06-02,Imported,8
2021-06-02,Local,23
2021-06-03,Imported,10
2021-06-03,Local,35
2021-06-04,Imported,6
2021-06-04,Local,7
2021-06-05,Imported,5
2021-06-05,Local,13
2021-06-06,Imported,14
2021-06-06,Local,6
2021-06-07,Imported,9
2021-06-07,Local,5
2021-06-08,Imported,5
2021-06-08,Local,4
2021-06-09,Imported,2
2021-06-09,Local,2
2021-06-10,Imported,9
2021-06-10,Local,4
2021-06-11,Imported,6
2021-06-11,Local,3
2021-06-12,Imported,9
2021-06-12,Local,9
2021-06-13,Imported,3
2021-06-13,Local,10
2021-06-14,Imported,6
2021-06-14,Local,19
2021-06-15,Imported,0
2021-06-15,Local,14
2021-06-16,Imported,5
2021-06-16,Local,19
2021-06-17,Imported,7
2021-06-17,Local,20
2021-06-18,Imported,2
2021-06-18,Local,14
2021-06-19,Imported,7
2021-06-19,Local,14
2021-06-20,Imported,2
2021-06-20,Local,9
2021-06-21,Imported,3
2021-06-21,Local,13
2021-06-22,Imported,3
2021-06-22,Local,15
2021-06-23,Imported,9
2021-06-23,Local,13
2021-06-24,Imported,9
2021-06-24,Local,14
2021-06-25,Imported,5
2021-06-25,Local,15
2021-06-26,Imported,4
2021-06-26,Local,13
2021-06-27,Imported,2
2021-06-27,Local,12
2021-06-28,Imported,5
2021-06-28,Local,4
2021-06-29,Imported,5
2021-06-29,Local,5
2021-06-30,Imported,11
2021-06-30,Local,5
2021-07-01,Imported,6
2021-07-01,Local,4
2021-07-02,Imported,7
2021-07-02,Local,3
2021-07-03,Imported,3
2021-07-03,Local,4
2021-07-04,Imported,10
2021-07-04,Local,1
2021-07-05,Imported,7
2021-07-05,Local,6
2021-07-06,Imported,8
2021-07-06,Local,2
2021-07-07,Imported,7
2021-07-07,Local,5
2021-07-08,Imported,13
2021-07-08,Local,3
2021-07-09,Imported,9
2021-07-09,Local,1
2021-07-10,Imported,6
2021-07-10,Local,0
2021-07-11,Imported,7
2021-07-11,Local,1
2021-07-12,Imported,18
2021-07-12,Local,8
2021-07-13,Imported,7
2021-07-13,Local,19
2021-07-14,Imported,4
2021-07-14,Local,56
2021-07-15,Imported,6
2021-07-15,Local,42
2021-07-16,Imported,8
2021-07-16,Local,53
2021-07-17,Imported,8
2021-07-17,Local,60
2021-07-18,Imported,4
2021-07-18,Local,88
2021-07-19,Imported,9
2021-07-19,Local,163
2021-07-20,Imported,13
2021-07-20,Local,182
2021-07-21,Imported,2
2021-07-21,Local,179
2021-07-22,Imported,8
2021-07-22,Local,162
2021-07-23,Imported,3
2021-07-23,Local,130
2021-07-24,Imported,3
2021-07-24,Local,127
2021-07-25,Imported,8
2021-07-25,Local,117
2021-07-26,Imported,6
2021-07-26,Local,129
2021-07-27,Imported,3
2021-07-27,Local,136
2021-07-28,Imported,6
2021-07-28,Local,130
2021-07-29,Imported,4
2021-07-29,Local,129
2021-07-30,Imported,8
2021-07-30,Local,131
2021-07-31,Imported,3
2021-07-31,Local,117
2021-08-01,Imported,8
2021-08-01,Local,113
2021-08-02,Imported,5
2021-08-02,Local,106
2021-08-03,Imported,4
